commune,resolution,class_code,method,threshold,reference_area_km2,area_km2,area_difference_km2,bias_percent,class_name_en
Århus,50,121000,fractional_threshold,0.7,51.04769669,51.045,-0.002696693,-0.005282693,Low built up
Århus,50,121000,fractional_threshold,1,51.04769669,50.925,-0.122696693,-0.240356963,Low built up
Århus,50,311000,default,NULL,44.71540716,44.85,0.134592842,0.300998807,Forest
Århus,50,311000,fractional_threshold,0.3,44.71540716,44.85,0.134592842,0.300998807,Forest
Århus,50,311000,fractional_threshold,0.7,44.71540716,44.67,-0.045407158,-0.101547008,Forest
Århus,50,311000,fractional_threshold,1,44.71540716,44.0625,-0.652907158,-1.460139132,Forest
Århus,100,211000,default,NULL,203.7721753,204.32,0.547824736,0.268841776,"Agriculture, intensive, temporary crops"
Århus,100,211000,fractional_threshold,0.3,203.7721753,204.32,0.547824736,0.268841776,"Agriculture, intensive, temporary crops"
Århus,100,211000,fractional_threshold,0.7,203.7721753,203.53,-0.242175264,-0.118846091,"Agriculture, intensive, temporary crops"
Århus,100,211000,fractional_threshold,1,203.7721753,201.14,-2.632175264,-1.291724575,"Agriculture, intensive, temporary crops"
Århus,100,121000,default,NULL,52.99539759,53.04,0.044602414,0.084162807,Low built up
Århus,100,121000,fractional_threshold,0.3,52.99539759,53.04,0.044602414,0.084162807,Low built up
Århus,100,121000,fractional_threshold,0.7,52.99539759,52.98,-0.015397586,-0.029054571,Low built up
Århus,100,121000,fractional_threshold,1,52.99539759,52.65,-0.345397586,-0.651750154,Low built up
Århus,100,311000,default,NULL,45.98566645,46.31,0.324333552,0.705292708,Forest
Århus,100,311000,fractional_threshold,0.3,45.98566645,46.31,0.324333552,0.705292708,Forest
Århus,100,311000,fractional_threshold,0.7,45.98566645,45.83,-0.155666448,-0.338510801,Forest
Århus,100,311000,fractional_threshold,1,45.98566645,44.47,-1.515666448,-3.295954076,Forest
Århus,200,211000,default,NULL,204.41738,205.8,1.382619979,0.67637105,"Agriculture, intensive, temporary crops"
Århus,200,211000,fractional_threshold,0.3,204.41738,205.8,1.382619979,0.67637105,"Agriculture, intensive, temporary crops"
Århus,200,211000,fractional_threshold,0.7,204.41738,204,-0.417380021,-0.2041803,"Agriculture, intensive, temporary crops"
Århus,200,211000,fractional_threshold,1,204.41738,198.16,-6.257380021,-3.061080237,"Agriculture, intensive, temporary crops"
Århus,200,121000,default,NULL,52.8497958,52.96,0.110204198,0.208523414,Low built up
Århus,200,121000,fractional_threshold,0.3,52.8497958,52.96,0.110204198,0.208523414,Low built up
Århus,200,121000,fractional_threshold,0.7,52.8497958,52.8,-0.049795802,-0.09422137,Low built up
Århus,200,121000,fractional_threshold,1,52.8497958,52.24,-0.609795802,-1.153828113,Low built up
Århus,200,311000,default,NULL,45.64382767,46.24,0.596172329,1.306140084,Forest
Århus,200,311000,fractional_threshold,0.3,45.64382767,46.24,0.596172329,1.306140084,Forest
Århus,200,311000,fractional_threshold,0.7,45.64382767,45.56,-0.083827671,-0.183656093,Forest
Århus,200,311000,fractional_threshold,1,45.64382767,43.12,-2.523827671,-5.529395319,Forest
Århus,500,211000,default,NULL,183.5321622,187.25,3.717837811,2.025714603,"Agriculture, intensive, temporary crops"
Århus,500,211000,fractional_threshold,0.3,183.5321622,187.25,3.717837811,2.025714603,"Agriculture, intensive, temporary crops"
Århus,500,211000,fractional_threshold,0.7,183.5321622,182.25,-1.282162189,-0.698603544,"Agriculture, intensive, temporary crops"
Århus,500,211000,fractional_threshold,1,183.5321622,166.5,-17.03216219,-9.280205707,"Agriculture, intensive, temporary crops"
Århus,500,121000,default,NULL,45.22407572,45.5,0.27592428,0.610126964,Low built up
Århus,500,121000,fractional_threshold,0.3,45.22407572,45.5,0.27592428,0.610126964,Low built up
Århus,500,121000,fractional_threshold,0.7,45.22407572,45.25,0.02592428,0.057324069,Low built up
Århus,500,121000,fractional_threshold,1,45.22407572,43,-2.22407572,-4.91790199,Low built up
Århus,500,311000,default,NULL,43.7806963,45.5,1.719303697,3.927081665,Forest
Århus,500,311000,fractional_threshold,0.3,43.7806963,45.5,1.719303697,3.927081665,Forest
Århus,500,311000,fractional_threshold,0.7,43.7806963,43.5,-0.280696303,-0.641141705,Forest
Århus,500,311000,fractional_threshold,1,43.7806963,36.75,-7.030696303,-16.05889558,Forest
Århus,1000,211000,default,NULL,258.7123254,268,9.287674636,3.58996218,"Agriculture, intensive, temporary crops"
Århus,1000,211000,fractional_threshold,0.3,258.7123254,267,8.287674636,3.20343247,"Agriculture, intensive, temporary crops"
Århus,1000,211000,fractional_threshold,0.7,258.7123254,258,-0.712325364,-0.275334916,"Agriculture, intensive, temporary crops"
Århus,1000,211000,fractional_threshold,1,258.7123254,215,-43.71232536,-16.89611243,"Agriculture, intensive, temporary crops"
Århus,1000,121000,default,NULL,68.51230919,69,0.487690806,0.711829468,Low built up
Århus,1000,121000,fractional_threshold,0.3,68.51230919,69,0.487690806,0.711829468,Low built up
Århus,1000,121000,fractional_threshold,0.7,68.51230919,68,-0.512309194,-0.747762263,Low built up
Århus,1000,121000,fractional_threshold,1,68.51230919,67,-1.512309194,-2.207353994,Low built up
Århus,1000,311000,default,NULL,67.73328942,70,2.266710579,3.346523694,Forest
Århus,1000,311000,fractional_threshold,0.3,67.73328942,70,2.266710579,3.346523694,Forest
Århus,1000,311000,fractional_threshold,0.7,67.73328942,69,1.266710579,1.870144784,Forest
Århus,1000,311000,fractional_threshold,1,67.73328942,53,-14.73328942,-21.75191777,Forest
